Toimittaja;Osto
ERILAISTEN OPPIJOIDEN LIITTO R;230.98000000000002
ERISTYSAPU OY;16.0
ESPERI CARE OY;4582.0
ESPERI CARE OY/KOULUTUSKORVAUS;204.0
ESPERI HOIVA 1 OY;3356.0
ESTA OY;359.0
ETELÄ-SAVON KOULUTUS OY;1219.1100000000001
ETELÄ-SUOMEN ALUEHALLINTOVIRAS;1415.0
ETELÄN HOUSE&POINT&LUX OY;495.66
ETRA OY;63301.76
EURAN ERIKOISPAPERIT OY;110.96
EURO PROFESSIONAL CONSULT. OY;3343.44
EUROCULTURA SRL;1870.0
EUROFINS AHMA OY;1186.0
EUROFINS EXPERT SERVICES OY/;741.0
EUROFINS NAB LABS OY;960.0
EUROFINS VILJAVUUSPALVELU OY;1211.75
EUROKANGAS OY;6400.7699999999995
EUROPASS ACADEMY BARCELONA;480.0
EUROPASS BERLIN BERATUNGS-;960.0
EUROPRESS GROUP OY;1081.0
EUROREGION RY_x;800.0
EVENTWORKS OY;240.0
EXPOMARK OY;3641.0
F-MUSIIKKI OY;49.92
F-SOLUTIONS OY / Ropo;33.6
FABA OSK;16203.06
FACTOR NOVA OY;828.3
FAMILAR OY;490.0
FARNELL OY AB;7858.009999999999
FC KURENPOJAT RY;1600.0
FCG FINNISH CONSULTING GROUP O;5559.0
FEDEX EXPRESS FINLAND OY;100.16
FEEDBACK OY;1616.98
FEELIA OY;226.0
FENNIA KESKINÄINEN VAKUUTUSYHT;6358.0599999999995
FESTO OY;24767.0
FIBROC OY;364.6
FIBUS OY;46158.37
FIDELIX OY;22010.52
FIN-TERPUU OY;392.0
FINCLOUD OY;5760.0
FINDOGS OY;495.2
FINN SPRING OY;400.0
FINNBAKELS OY;1000.41
FINNISH ECOCOACHING ACADEMY OY;9960.0
FINNKONE OY;3263.0
FINNPARTTIA OY;124.28999999999999
FINNSAT OY;24095.95
FINNSERI OY;14374.3
FINNTENSID OY;37704.35
FINNTEST OY;131.3
FIXUREMPPA OY;1080.1399999999999
FLAGMORE OY;1204.0
FLEXTRA OY;776.0
FLOWPLUS OY;12811.57
FLUICONNECTO OY;309.94
FONECTA OY;1980.0
FOODIUM OY;350.0
FOREST NEVANPERÄ OY;2460.0
FOTOMYLLY OY;550.0
FOTONORDIC OY;4187.91
FREDMAN PERFECT KITCHEN OY;2366.5
FRONERI FINLAND OY;894.08
FSM OY FONEL SECURITY MARKETIN;7136.0
FUJITSU FINLAND OY;4500.0
FULL HOUSE REAL ESTATE GMBH;4271.9
FUSTI OY;449.28
FUTURSOFT OY;3037.15
FYSIOLINE OY;18271.19
FYSIOSTORE OY;7110.0
G.W. BERG & CO AB;439.0
GANE OY;5098.47
GASMAN OY;1048.6
GASUM OY;518.1
GBT FINLAND OY;88717.85
GENANO FIN OY;89170.0
GENEXIS FINLAND OY AB;19654.48
GENIMATE OY;2090.0
GEOBOTNIA OY;66939.58
GERONTOLIGINEN RAVITSEMUS GERY;45.0
GETINGE FINLAND OY;18698.0
GIGANTTI OY;15316.03
GLO HOTELLIT OY;507.06
GO ARCTIC OY;3882.09
GRADE SOLUTIONS OY;16939.63
GRANLUND OY;29608.5
GRANO OY;18109.079999999998
GREEN MASTER OY;152.8
GREENLED OY;648.0
GRENKELEASING OY;10649.24
GROGNARD OY;72.43
GT MUSIIKKILUVAT OY;1136.64
GÖREME PIZZA KEBAB OY;778.37
H2 OULU OY;904.0
HAAHTELA-KEHITYS OY;99958.08
HAAPAJÄRVEN LÄMPÖ OY;450.0
HAAPALEHDON KATSASTUS OY;13707.43
HAAPAMÄEN HÖYRYVETURIPUSTO OY;450.0
HAAPAVEDEN OPISTON KANNATUS-;25674.0
HAILI OY;2480.2200000000003
HAIPELI OY / PAINOMIEHET;160.0
HAIRMAIL OY;116.94
HAKA CENTER OY;2601.89
HAKALANTIEN KORJAAMO OY;1492.0
HAMK AKATEMIA OY;235.0
HAMMARIN SÄHKÖ OY;82.36
HAMMAS-SAMPO OY;480.0
HAMMASVÄLINE OY;1169.08
HANKKIJA OY;62553.770000000004
HANNUN KALUSTEVERSTAS OY;2712.0
HANPOWER BOILERS OY;1582.0
HAPPOWA OY;557.0
HARMAA KISSA OY;1625.74
HARTIKAINEN YHTIÖT OY / ARVATO;820.95
HARTWALL OY AB;3282.0
HAUKIPUTAAN HEITTO RY;600.0
HAUKIPUTAAN KOTIHOIVAPALVELUT;3650.0
HAUKIPUTAAN PALLO RY;1500.0
HAUKIPUTAAN SÄHKÖOSUUSKUNTA;163320.16999999998
HAUKIPUTAAN TAITTO OY;152.99
HAUKIPUTAAN TUORETUOTE JA KUKK;613.07
HAUKIPUTAAN VARAOSAKESKUS;2770.88
HAUKIPUTAAN VÄRI OY;5904.59
HAUKIRAVINTOLA OY/SAMANTTA HOT;303.07
HAURUN JÄTE-AUTO OY;984.0
HAVERINEN LOGISTICS OY;4669.4
HEALTHVISOR OY;5108.72
HEAVY PARTS AGENT OY/TRUST;6748.28
HEAVY RAKENNE OY;518.06
HEDENGREN SECURITY OY AB;1381.84
HEIKKINEN & PULJULA OY;411.0
HELI ROVANIEMI OY ROVANIEMI;5636.0
HELSINGIN KAMARI OY;530.0
HELSINGIN KAUPUNKI;4020.0
HELVAR OY AB;3150.0
HENKILÖ- JA YRITYSARV. SETI OY;4126.0
HENKILÖSTÖJOHDON RYHMÄ-HENRY;280.0
HENKILÖSTÖPALVELU PIKASSO OY;2008.0
HEPACON OY;88423.02
HERCULES JUNIORIT RY;3575.0
HERIMED OY;13750.0
HERO SAFETY OY;33794.47
HEXAPLAN OY;1507.0
HH OJANPERÄ OY;722.0
HIIHTOKESKUS ISO-SYÖTE OY;1464.91
HILLA GROUP OYJ;15760.0
HILPRO HUOLTOUKOT OY;2858.0099999999998
HILTI (SUOMI) OY;1118.21
HINAUSKESKUS POHJANMAA;351.4
HIRSITUOTE HAAVIKKO OY;320.0
HISSI SERVICE OY;4995.0
HISSIPALVELUT HENRY ANTTILA OY;5465.6
HKSCAN FINLAND OY;144421.44
HL GROUP OY;13053.76
HLR-HJÄLPEN STOCKHOLM AB_x;603.21
HODARI AUTO OY;1052.63
HOHTO SÄHKÖ OY;1100.0
HOITOLA HÖYHEN OY KALAJOKI;20.0
HOIVA HILLA OY;1820.0
HOIVA MEHILÄINEN OY ONNIKOTI M;432.0
