Toimittaja;Osto
POHJOIS-KARJALAN OSUUSKAUPPA/S;807.67
POHJOIS-POHJANM.KEITTIÖMESTARI;1120.0
POHJOIS-POHJANMAAN ELY-KESKUS;1344.0
POHJOIS-POHJANMAAN HYVINVOINTI;65514.32
POHJOIS-POHJANMAAN KESÄYLIOPIS;6060.0
POHJOIS-POHJANMAAN LIIKUNTA RY;220.0
POHJOIS-POHJANMAAN NUORISOSEUR;1530.0
POHJOIS-POHJANMAAN OSHP OY;640.0
POHJOIS-POHJANMAAN PUHTAUSALA;250.0
POHJOIS-POHJANMAAN YRITTÄJÄT_X;6700.0
POHJOIS-SUOMEN ALUEHALLINTOVIR;13521.58
POHJOIS-SUOMEN ELEKTRONIIKKA;10183.8
POHJOIS-SUOMEN MESSUT R.Y.;369.0
POHJOIS-SUOMEN PELASTUSLIIT_x;120.0
POHJOIS-SUOMEN PERUSTUSPALVELU;46172.130000000005
POHJOIS-SUOMEN RAKENNUSKLUSTER;500.0
POHJOIS-SUOMEN SÄHKÖ-JA;50.0
POHJOIS-SUOMEN TIIVISTE OY;189.32999999999998
POHJOISEN VIIMA OY;57914.659999999996
POHJOISMAINEN FAB LAB VERKOSTO;215.0
POHJOLA VAKUUTUS OY;629602.38
POHJOLAN HITSIHUOLTO OY;395.0
POHJOLAN KIINTEISTÖRAKENNE OY;690.0
POHJOLAN KYLMÄTEKNIIKKA OY;23546.36
POHJOLAN MAALIPOJAT OY;984.0
POHJOLAN PESUKARHU OY;314.75
POHJOLAN PUTKISTO OY;678.0
POHJOLAN TURISTIAUTO OY;13547.119999999999
POHJOLAN TURISTIAUTO OY / II;2039.55
POKO OY - POHJOLAN KOIRAVARTIO;74476.81
POLIISIAMMATTIKORKEAKOULU/;2510.0
POLIISIHALLITUS / SUOMEN;350.0
PONSSE OYJ;114481.73
POOLMAX OY;84.68
PORATUULI OY;64.35
POSTI JAKELU OY;40115.33
POSTI MESSAGING OY;338.72
POSTI OY;17756.57
POTENTIAL TOIMITILAT OY;293698.72000000003
POWER FINLAND OY;406.88
POWERESTA OY;12389.7
PP APU OY;70.0
PP-TRAKTORI OY;623.99
PPP-KÖÖKKI OY;30132.32
PREANTA OY;207.53
PRENAX AB SUOMEN SIVULIIKE;15571.76
PRESTIA OY;986.0
PRESTO OY;6873.38
PRIMA FACTORY OY;197.92
PRIMEHOTELS OY RANTAPUISTO;129.69
PRIMULATOR OY;268.71000000000004
PRINTSCORPIO OY;127.82
PRO-KAKS OY;200.0
PROAGRIA OULU RY;3010.61
PROBIND OY;577.0
PROBOT OY;25460.0
PRODIAGS OY;1211.19
PRODIAGS OY / II;18100.72
PRODINE OY;8750.699999999999
PROFESSIONAL MECHANICS FINLAND;226.0
PROFICAN OY;4954.1
PROFICIENT CO OY;183.74
PROFIILIKESKUS OY;4510.68
PROGMAN OY;150.0
PROMART OY;321.0
PROMEGO OY;1310.0
PROMETNA SOLA MARIBOR;4020.12
PRONIUS OY;702.9499999999999
PRORAKENNE OY;15986.3
PROVENTIA OY;250.0
PROWLEDGE OY;1924.53
PS-PINNOITUS OY;22330.35
PSK STANDARDISOINTIYHDISTYS RY;500.0
PSPINNOITE OY;260.0
PTCSERVICES OY;35152.56
PTP LUTTINEN OY;8106.71
PUDAS-KONE OY;5635.78
PUDASJÄRVEN HAUTAUSTOIMISTO JA;249.18
PUDASJÄRVEN KAUPUNKI;150409.53
PUDASJÄRVEN KEHITYS OY;200.0
PUDASJÄRVEN SEURAKUNTA;131.47
PUDASJÄRVEN TURVAPALVELU KY;1544.69
PUDASJÄRVEN URHEILIJAT RY;820.0
PUDASJÄRVEN YRITTÄJÄT RY;300.0
PUHTAUSTIETO PT OY;414.55
PULLA-PIRTTI OY;3405.19
PUNAINEN RISTI ENSIAPU OY;2770.0
PUNAMUSTA COLORO OY;410.0
PUNAMUSTA OY;2533.38
PUTAAN AUTO JA VARAOSA;250.0
PUTAAN PULLA OY;8345.98
PUTELI OY;309.53
PUTKIKIERRE OY;159.39
PUUILO TAVARATALOT OY;55.510000000000005
PUUKEIDAS OY/OULUN TOIMIPISTE;4772.88
PUULASTU OY;250.0
PUUNKORJUU JUNKKARIT OY;492.0
PUUNKORJUU M&M OY;354.6
PUUTARHATALO MERITÄHTI KY;132.07
PUUTAVARALIIKE P.KARVONEN OY;4286.0
PUUTEBAR OY;178.04
PUUTUOMELA OY;226.0
PYYKKÖNEN & HUUSKO OY;1315.28
PYÖRÄ-SUVALA OY;200.0
PÄIVI HEIKKALA OY;216.0
PÄIVÄKOTI KARUSELLI OY;432.0
PÄIVÄKOTI MANSIKKAMAA OY;4026.0
PÄIVÄRINTEEN TIMANTTI OY;3268.0
PÄKÄ REHU OY;1590.0
PÖRHÖN AUTOLIIKE OY;19764.96
QICRAFT FINLAND OY;2535.27
QPR SOFTWARE OYJ;3280.31
QRIDI OY;1650.0
QSTOCK OY;3760.66
QUALITAS NDT OY;8684.95
R. AALTONEN OY;540.37
RAAHEN AUTOMAALAAMO OY;1710.0
RAAHEN KAUPUNKI;1260.53
RAAHEN MUURAUS OY;2490.0
RAAHEN RAUTATEHTAAN RUOKALA;904.0
RAAHEN RENGAS JA LAITE OY;6893.04
RAAHEN VANHUSTENHUOLTOSÄÄTIÖ S;1712.0
RADIODUO OY;176.42
RADIOMEDIA RY;478.12
RAHTARIT RY;200.0
RAILCO OY;300.0
RAKENNUS-KOSKELA OY;226.0
RAKENNUSLIIKE HÄYRYNEN OY;952.0
RAKENNUSLIIKE LAPTELLI OY;678.0
RAKENNUSLIIKE SORVOJA OY;800.0
RAKENNUSLIIKE VERRATON OY;600.0
RAKENNUSPALVELU ERVASTI OY OUL;226.0
RAKENNUSPALVELU J.TUOMELA;386.0
RAKENNUSPALVELU KREIVI OY OULU;520.0
RAKENNUSPALVELU RAJADUO OY;904.0
RAKENNUSPALVELU RANTONEN OY;226.0
RAKENNUSPALVELU T. PÄKKILÄ OY;1582.0
RAKENNUSTIETO OY;19407.56
RAKENNUSTOIMISTO LÄNSIRAJA OY;678.0
RAKSILAN LIKAT RY;500.0
RAMBOLL FINLAND OY;75533.63
RAMIRENT FINLAND OY;5569.89
RANTALAKEUDEN SALAOJITUS OY;262.0
RANUAN SEUDUN MATKAILU OY;2212.1
RASKONE OY;6865.55
RASTOR- INSTITUUTTI RY;47510.0
RATATEK OY;320.0
RATORA OY;500.0
RAUTA KORPELA OY;1400.61
RAUTA-PAJALA OY;133414.85
RAUTATIETO OY;432.0
RAVINTOLA ALFRED OY;1138.36
RAVINTOLA HS OY;690.15
RAVINTOLA ULEÅBORG 1881;140.0
RAVINTOLA UUDEN SEURAHUONEEN H;648.0
RCK FINLAND OY;1873.18
REALMACHINERY OY;684.1999999999999
REBELL CONSULTING OY;8560.15
REDGO FINLAND OY;1111.24
REKKALASKENTA OY;352.0
REL-PALVELU OY;3372.0
RENTOKIL INITIAL OY;1268.0
RENTOVILLA OY;1323.6399999999999
REPO-LINES OY;400.0
RESTAMARK OY;19.65
RESTAMARK OY/MaRan jäsenmaksut;470.0
RESTAUROINTIPUUSEPÄT NUUTTI;31.45
RESTEL RAVINTOLAT OY;574.52
RESTOLUTION OY;1102.0
RETRIEVER SUOMI OY;14090.089999999998
REVIRE PERINTÄ OY;869.72
REVON TURISTILIIKENNE OY;2600.0
REXEL FINLAND OY;78996.09
RF-ELECTRONICS AY;19.6
RHM-KONEURAKOINTI OY;492.0
RIIHIMÄEN AUTO- JA KONEHAJOITT;66.93
RIMACO PALVELUT OY;240.0
RINNEKODIT OY;4766.0
RINTA-JOUPIN AUTOLIIKE OY;320.0
RINTWEST OY;250.0
RISTO LUTTINEN OY;115.93
RITTAL OY;171.45
RIVERTY FINLAND OY;868.0
RKENNUSPALVELU PUUSTA OY;226.0
RKL POUKKULA OY;904.0
RM-TRUCKS OY;112.9
ROCKSERI OY;106.33
ROKUAN KUNTOUTUS OY;1649.0
ROMUTA OY;48.0
ROPO SUOMI OY;49.01
ROTATOR OY;1836.15
ROVANIEMEN KOULUTUSKUNTAYHTYMÄ;6897.8
ROVANIEMEN PUUTUOTE OY;160.0
ROVANIEMEN VÄRI JA MATTO OY;3356.97
RPJM RAKENNUSPALVELUT OY;242.0
RSK RAKENNUS OY;400.0
RTV-YHTYMÄ OY / NORDEA;1457.66
RUDUS OY;276.6
RUOKAVIRASTO / SUOMEN VALTIO;5658.1
RUSKON AUTO JA VARAOSA KY;310.0
RUSKON AUTOHUOLTO OY/KOUL;1582.0
RUSKON BETONI OY;32407.75
RYHMÄKOTI KIMPPA-KÄMPPÄ OY;216.0
RÄIKIÄ OY;80.0
S & H UKKOLA OY/LVI- JA RAKENN;26199.87
S-BUSINESS OY;51090.97
S-SISUSTUS OY;904.0
S.SARESKOSKI OY;3118.65
SAAGA TRAVEL;5017.09
SAARENPÄÄ OY;104.38
SAARIOINEN OY;17577.87
SADEX OY;7332.8
SAFE GROUP SECURITY OY;1320.0
SAFE TO PLAY OY;700.0
SAFEAID OY;1269.0
SAH-KO OY;3182.27
SAINT-GOBAIN GLASS FINLAND OY;795.64
SAKELA RAKENNUS OY;-300.0
SALOTEC OY;2582.0
SALTEX OY;4897.0
SALVOS FINLAND OY;2260.0
SAMAR OY;2543.22
SANOMA MEDIA FINLAND OY/HELSIN;1030.72
SANOMA PRO OY;410.09000000000003
SANOSTOPVÄKIVALLALLE OY;1678.0
SANTA CLAUS HOLIDAY VILLAGE OY;74.12
SAPLUUNA OY;12000.0
SAR-MACHINE OY;2102.16
SARAMACHINE OY;1476.0
SAREENA OY;226.0
SARKA ASUNNOT OY;888.0
SARLIN OY AB;645.3
SAS SAS INVEST HOTEL LILLE FLA;9973.04
SASTAMALAN KOULUTUSKUNTAYHTYMÄ;20.0
SATAKUNNAN OSUUSKAUPPA;1436.8500000000001
SATATERÄS OY;620.0
SATUSIIPI PÄIVÄKODIT OY;350.0
SAUNALAHTI/ELISA OYJ;717.9399999999999
SAVO-OIL OY;153607.28
SAVO-SET OY;253.6
SAVON KOULUTUSKUNTAYHTYMÄ;1177.01
SAVON VAMMAISASUNTOSÄÄTIÖ;370.0
SAVONIA-AMMATTIKORKEAKOULU OY;1004.02
SAVOPAK OY;426.0
SCANDER;4260.0
SCANDIC HOTELS OY;4865.76
SCANFIL EMS OY;160.0
SCANIA SUOMI OY;21069.49
SCANLAB OY;732.54
SCANPES OY;100.0
SCENE ARTS OY;1600.0
SCHENKER OY;378.86
SCHINDLER OY;18382.79
SCHNEIDER ELECTRIC FINLAND OY;16672.31
SEAMOTION OY;200.0
SEB KORT BANK AB / DINERS CLUB;136612.44
SECAPP OY;10786.3
SECO TOOLS OY;1418.1
SECTO AUTOMOTIVE OY;8285.16
SEICOTEC OY;1382.21
SEINÄJOEN KOULUTUSKUNTAYHTYMÄ/;2985.0
SEINÄJOEN PK-MYYNTI OY;5600.0
SELECTA FINLAND OY;24583.6
SELLTRACON OY;450.0
SENSOREX OY;5813.0
SEOPTIMI OY;120.0
SERCAP HUOLTOPALVELUT OY;499.27
SGS FIMKO OY;2325.88
SHT-TUKKU OY;1226.55
SICK OY;2879.7799999999997
SIEMENKAUPPIAITTEN YHDISTYS RY;178.15
SIEMENS FINANCIAL SERVICES AB/;31512.06
SIEMENS OY;12405.919999999998
SIGMA TRUKIT OY;11191.13
SIGNCOM OY;1009.39
SIIKAJOEN KUNTA;1610.0
SIIKALATVAN KUNTA;216.0
SIIRTOKUMPU OY;1490.0
SILMÄASEMA SAIRAALA OY;210.0
SILVASTI SOFTWARE OY;9119.41
SIM FINLAND  OY;149.46
SIMEON CARGO OY;200.0
SIMERI OY / Ropo;6158.96
SIMIKAAREN PERHEKOTI OY;1040.0
SIMON KUNTA;1808.0
SIRIUSPÄIVÄKODIT AY;1170.0
SISÄRAKENNE KUKKOLA OY;1356.0
SITEIMPROVE OY;6391.33
SITOWISE OY;19986.18
SIURUAN KYLÄ RY;1125.0
SKANSKA RAKENNUSKONE OY;9268.25
SKF OY AB;3220.0
SKILLS FINLAND RY;41884.0
SKILLSTER AB;22566.0
SKT INFRA OY;1728.0
SKUBA SUOMI OY;582.43
SL NISSILÄ OY;63.75
SL-KONEURAKOINTI OY;4152.0
SL-TRANS OY;1000.0
SLATEK OY;452.0
SM FIMAC OY LTD;2700.0499999999997
SMARTBLOCK OY;40400.0
SMC AUTOMATION OY;1015.71
SMJ-FOREST OY;738.0
SOILAN OY;80.65
SOIMET KY;678.0
SOKERI-JUSSIN KIEVARI OY;1743.92
SOKOTEL OY;5011.61
SOL KIINTEISTÖPALVELUT OY;1200.0
SOLENOVO OY;4951.05
SOLIBRI OY;1700.0
SOLMASTER OY;4923.42
SONEPAR SUOMI OY;66058.38
SOR-VARANGER UTVIKLING AS;4634.0
SORALINKKI OY;236.85
SORCOLOR OY;80.0
SOTEKO OY;400.0
SOTKAMO SILVER OY;320.0
SP-ELEKTRONIIKKA OY;2050.67
SR-KIINTEISTÖHUOLTO OY;1700.0
SRJH GROUP OY;396.0
SSAB EUROPE OY / KOULKORV;320.0
SSH SECURE COLLABORATION OY;8860.64
ST1 OY;151.19
STAFFPOINT OY;943.69
STAFFPOINT SALLA OY;280.0
STAFFPOINT SODA OY;150.0
STANDA OY;69400.61
STANLEY SECURITY OY;100465.61
STARK SUOMI OY;325240.4
STEEL GROUP POHJANMAAN OY;1146.0
STERKMAN OY;150.0
STORIA OY;138286.69999999998
SULAVA OY;14745.0
SUN-OFFICE OY;1369.5
SUOMALAINEN KIRJAKAUPPA OY;216.66
SUOMEN 118;239.0
SUOMEN AKKUTALO OY;1927.83
SUOMEN AKUT OY/ ROVANIEMI;125.1
SUOMEN AMM.KOUL.KULT-URH.L/SAK;15016.0
SUOMEN AMMATTIIN OPISK.KESKUSL;100.0
SUOMEN ASIAKASTIETO OY;1455.07
SUOMEN AUTOHUOLTO OY;36778.72
SUOMEN DIAKONIAOPISTO OY;2646.0
SUOMEN ERILLISVERKOT OY;7376.360000000001
SUOMEN EUROMASTER OY;66562.99
SUOMEN HELAKESKUS OY;1303.02
SUOMEN HIEROJAKOULUTTJAT RY_x;345.0
SUOMEN HITSAUSTEKNILLINEN YHD;2617.42
SUOMEN HOITOLATUKKU OY;8512.83
SUOMEN HUOPAKATTO OY / KOULKOR;240.0
SUOMEN KALENTERI OY;149.0
SUOMEN KAUKOKIITO OY;205.06
SUOMEN KINESTETIIKKAYHDISTYS R;4491.45
SUOMEN KUITUTEKNIIKKA OY;1166.0
SUOMEN KUKKAKAUPPIASLIITTO RY_;300.0
SUOMEN KUKKATARVIKE OY;472.94
SUOMEN KULJETUS JA LOGISTIIKKA;795.0
SUOMEN KULJETUSTURVA OY;11507.8
SUOMEN KULTASEPPIEN LIITTO RY;330.0
SUOMEN KULUTUSOSA OY;3520.0
SUOMEN KUNTALIITTO RY II;11500.4
SUOMEN KYLMÄYHDISTYS RY;1190.0
SUOMEN KÄTILÖLIITTO RY;495.0
SUOMEN LAATUTARVIKE OY;728.5
SUOMEN LAATUYHDISTYS RY;92.74
SUOMEN MAASTORAKENTAJAT OY;3976.27
SUOMEN MCKENZIE INSTITUUTTI RY;1050.0
SUOMEN METSÄKESKUS;6840.0
SUOMEN MUUTTOFIRMA OY;2953.98
SUOMEN NUORISOSEURAT RY;25.0
SUOMEN OLYMPIAKOMITEA RY;100.0
SUOMEN OPPISOPIMUSOSAAJAT RY;3305.0
SUOMEN PADELKESKUS OY;276.5
SUOMEN PALAUTUSPAKKAUS OY;-87.41
SUOMEN PALOPÄÄLLYSTÖLIITTO RY;1578.0
SUOMEN PELASTUSALAN KESKUSJÄRJ;12760.43
SUOMEN PSYKOLOGIKESKUS;49572.0
SUOMEN PUNAINEN RISTI;145.13
SUOMEN PUNAINEN RISTI RANTALAK;65.0
SUOMEN RAK.INS.LIITTO RIL R.Y.;2360.0
SUOMEN RENGAS-HEIKKI OY;1130.0
SUOMEN SAIRAALATUKKU;636.9
SUOMEN SAIRAANHOITAJALIITTO RY;10.5
SUOMEN STANDARDISOIMISLIITTO;2193.81
SUOMEN TALOUSHALLINTOLIITTO RY;345.0
SUOMEN TELAKONE OY;1388.5
SUOMEN TERVEYDENHOITAJALIITTO;200.0
SUOMEN TERVEYSTALO OY;700.0
SUOMEN TIVOLI OY;140.0
SUOMEN TOIMITILAKALUSTE OY;41547.829999999994
SUOMEN TOIMITUSJOHTAJAKOULU OY;23227.260000000002
SUOMEN TYÖKALU OY;33282.4
SUOMEN VALMENTAJAT RY;229.0
SUOMEN VESILAITOSYHDISTYS RY;598.0899999999999
SUOMEN VOITELUAINEKAUPPA OY;1039.0
SUOMEN VUOKRAKONTTI OY;15976.09
SUOMEN VUOKRAMESTARIT OY;140.0
SUOMEN YHTEYSYRITYKSET OY;660.0
SUOMEN YMPÄRISTÖOPISTO SYKLI;2787.55
SUOMEN YRITYSREKISTERI;159.0
SUOMUSSALMEN PUHDASPESU;4598.67
SUONENTIETO OY;1301.6
SUSIRAJA CAMP OY;25.0
SVEA PERINTÄ OY;70.93
SWECO FINLAND OY;48891.78
SYMPA OY;39417.83
SYNSAM FINLAND OY;2626.52
SYÖTTEEN TAKSIPALVELUT OY;1776.0
SÄHI OY;984.0
SÄHKÖ ONASSIS OY;1350.0
SÄHKÖ- JA KONEASENNUS HALMETOJ;177.0
SÄHKÖ- JA TELEURAKOITSIJALII_X;982.26
SÄHKÖ-ARKTIA OY;2712.0
SÄHKÖ-ARTPE OY;500.0
SÄHKÖ-AUTIO OY;3072.0
SÄHKÖ-MATIC OY;7001.4800000000005
SÄHKÖ-VAITTINEN OY;280.26
SÄHKÖHUOLTO TISSARI OY;128.2
SÄHKÖINFO OY;12855.5
SÄHKÖLIIKE SOILA OY;600.0
SÄHKÖTUIKKU OY;269.66
SÄÄSKIPUU OY;3052.0
SÄÄSTÖKUOPPA GROUP OY;1904.69
T MAIJALA OY;2852.0
T-MEDIA OY;4100.0
T-TEK OY;4202.0
TAIDE JA KEHYS PEKKALA OY;320.28
TAIGA KODIT OY;1423.0
TAIKATAHTI OY;216.0
TAIPUU DESIGN OY;1119.3600000000001
TAISTO HIRVONEN OY;8828.29
TAITO POHJOIS-POHJANMAA RY;3698.37
TAITO-MAARIA OY;386.35
TAITONETTI OY;840.0
TAITOREITTI OY;6186.5599999999995
TAIVALKOSKEN HUONEKALU JA VÄRI;1476.3
TAIVALKOSKEN KUNTA;236528.87
TAIVALKOSKEN KUOHU RY;1560.0
TAIVALKOSKEN LASI JA LEVY KOMM;1423.41
TAIVALKOSKEN LEIPOMO KY;417.02
TAIVALKOSKEN YRITTÄJÄT RY;165.32
TAKSI PIIPPONEN OY;591.09
TALENT CENTER OY;3150.0
TALEPOLAR OY;452.0
TALGRAF OY;17477.83
TALOTUKI OULU OY;612.9
TALVEA TARKASTUSPALVELUT OY;1214.0
TAMISY OY;71.41
TAMMED OY;97.5
TAMMER BRANDS OY;2139.08
TAMMIHOLMA OY;2325.5
TAMPEREEN AMMATTIKORKEA-;14100.6
TAMPEREEN KAUPPAKAMARI;450.0
TAMPEREEN KAUPUNKI;6028.0
TAMPEREEN PENLI OY;35.98
TAMPEREEN SÄHKÖPALVELU OY;240.5
TAMREX OY;342.08000000000004
TAMRO OYJ;151.0
TANHUVAARAN PALVELUT OY;1087.27
TANSSIKOULU TANSSIN TAHTI;360.0
TARKEM OY;620.3
TARRASERIF OY;499.4
TARRATALLI OY;1011.0
TARVIKETORI OY;56027.79
TAVO OY;51224.45
TCD CONSULTING AND RESEARCH;23541.53
TEACHER ACADEMY IRELAND LIMITE;580.0
TEAM JUNTUNEN OY;592.0
TEAM KAJAVA OY;2952.0
TEAM KOTISAARI OY;722.0
TEAM VIEWER GMBH;1999.9
TEAMFLOW OY;1650.0
TEATTERI NELIAPILA RY;50.0
TECALEMIT OY;24710.0
TEKSTIILIPALVELU OY;851.0
TELAKKA MEDIAPAJA RY;240.0
TELIA FINLAND OYJ;132157.08
TELINEKATAJA OY;7320.0
TEMOTEK OY;1400.0
TENHUSEN MAANSIIRTO JA KULJETU;492.0
TENNISSEURA KUUSAMON ERÄPALLO;500.0
TENSTAR SIMULATION AB;11494.0
TEPAN REMONTTI JA RAKENNUS OY;880.0
TERAWATT OY;5602.0
TERRAFAME OY;5440.0
TERVAREITTI OY;507.45
TERVARIT JUNIORIT RY;10397.73
TERVETEC OY;571.69
TERVEYSTALO KUNTATURVA OY;1296.0
TERÄ TEKNIIKKA OY;869.25
TERÄS-RENGAS OY;250.64999999999998
TERÄTOIMITUS LEHTINEN OY;1182.01
TEVELLA OY;269.92
THALGO FINLAND OY;104.01
THE SOCIAL BURGER JOINT OY;432.0
THERMO ELECTRON LED GMBH;5745.0199999999995
THINKING PORTFOLIO OY;11100.0
THOMANN GMBH;-1539.83
TIETOKESKUS FINLAND OY;15513.0
TIETOSÄHKÖ OY;128.92000000000002
TIITUS GROUP OY;18000.0
TILIPUSSI KY;348.25
TIMEKO OY;678.0
TIMELLI OY;120.0
TIMO OFFICE OY;552.0
TK OJALA KY;1659.5
TLP KURIIRIT OY;1086.0
TOIVON KUULO OY;225.81
TOJEKSI OY;1260.0
TOKMANNI OY/SÄÄSTÖKUOPPA;134.46
TOMMI KOKKONIEMI OY;16.0
TOMMI O. NISKANEN AY;3879.65
TONI PERÄLÄ OY;1479.51
TOOLS FINLAND OY;320547.56
TOOLX OY;673.9
TOP KATSASTUS / HELPPO RENT OY;844.32
TORIN LIHAMESTARI OY;1217.4
TORMENTA OY;140.0
TORNION HINAUSPALVELU OY;2582.99
TORNION SEURAKUNTA;2694.75
TOTAL SEC OY;1859.82
TOUHU-PALVELUT OY;107.0
TOUHULA ILO OY;280.0
TOUHULA VIRNE OY;108.0
TOYOTA MATERIAL HANDLING;29523.0
TP MAANRAKENNUS OY;1200.0
TRACWEST OY;170.94
TRAFICOM Liikenne-ja viestintä;131759.11
TRAFINO OY;639.9
TRAINERO OY;162.0
TRANSVIA SL;265.0
TREEHOTEL AB;5000.0
TRIMBLE FORESTRY EUROPE OY;11140.0
TRIPLAN OY;16697.03
TTT KUSTANNUS OY;199.09
TULIKIVI OYJ;92.67
TULKA OY;588.59
TULKKAUSILONA OY;250.44
TULLIN PULTTI OY/VISMA FINANCI;12663.87
TUMARESTA OY;557.44
TUNTURIAUTO OY;1390.0
TUOMEN KUKKA JA HAUTAUSPALVELU;717.91
TUOMIOISTUINLAITOS;65.0
TUONTITUKKU FI OY;62.39
TUOPPIS GARAGE OY;1558.91
TUOTANTO- JA TYÖNTEKOYHTIÖ PÅG;450.0
TURKAN RATSURINNE AVOIN YHTIÖ;16.0
TURNER-DOOR OY;23889.82
TURUN HYLLY-JA TRUKKITALO OY;5810.98
TURUN OSUUSKAUPPA;1418.97
TURUSENSAHA;380.0
TURVALLISUUS- JA KEMIKAALIVIRA;610.0
TURVATA OY;968.09
TURVAVYÖ OY;206.45
TUULIA ENERGY OY;492.0
TYNNYRIPUISTON HOTELLI OY;450.92
TYPING MASTER FINLAND OY;848.99
TYRNÄVÄN KUITU OY;527.9200000000001
TYRNÄVÄN KUNTA;350.0
TYÖKALUPALVELU-TOOLSERVIGE GRÖ;20086.28
TYÖKALUTORI OY_saneerauksessa;62.67
TYÖLLISYYSRAHASTO_x;979172.16
TYÖTEHOSEURA RY;300.0
TYÖTERVEYSLAITOS;8923.0
TYÖTURVALLISUUSKESKUS;4696.11
UITTOKALUSTO OY;2167.2599999999998
UKI ARKKITEHDIT OY;27955.0
UKK-INSTITUUTTI;31.82
UKKO.FI.LASKUTUSPALVELU;500.0
ULKOILULIIKE PATIKKA;5640.0
ULOSOTTOLAITOS / Oulun seudun;337.40999999999997
UNITED ROBOTICS GROUP GMBH;1566.27
URALTONE AMPLIFICATION OY;223.5
URKURAKENTAMO MARTTI PORTHAN O;4860.0
US-TUONTI / VEHICLES IMPORT -;3000.0
USKALLA AUTTAA OY;77733.01
UTAJÄRVEN AUTOHUOLTO OY;1522.0
UTAJÄRVEN KUNTA;851.69
UUSI-IIKKALAN MAITO OY;1442.4
UUVA OY;55.16
V-P TOLONEN OY;11396.01
V.E.LIPPONEN OY;986.13
VAAKAEKSPERTTI.FI/VALUE GROUP;2400.5
VAALAN VESI JA LÄMPÖ OY;550.0
VAAROJEN RAKENTAJAT OY;2952.0
VAASAN SÄHKÖ OY;456.99
VAHVUUTTAMO OY;1145.0
VAK HUOLTOPALVELUT OY;3095.85
VAK OY;21000.0
VALCO OY;122.15
VALIDIA OY;2426.0
VALIO OY;179696.04
VALKEAKOSKEN LAAKERI;217.81
VALOKUVAAMO SKOPIX OY;600.0
VALOO OY;95.19
VALTAKUNNALL. VALM.JA LIIKUNTA;720.0
VALTIOKONTTORI;989.5600000000001
VALTTORI OY;647.5
VALU DIGITAL OY;28345.97
VALVIRA SOS- JA TERV.ALAN VALV;3184.99
VAPO TERRA OY;15744.380000000001
VARANGI OY;247.0
VARAOSA T.PAAKKARI OY;861.51
VARSINAIS-SUOMEN ELY-KESKUS;159.36
VARSINAIS-SUOMEN HYVINVOINTIAL;216.0
VASTUU GROUP OY;3511.8199999999997
VAUHTIPYÖRÄ AHOLA OY;720.0
VAURIOPISTE OY;1080.0
VAVESAAREN TILA OY;116.49000000000001
VE HEIKKINEN AY / K-SUPERMARKE;2834.91
VECTOR-SUOMEN VERKKOPELIYHDIST;6821.38
VEHO OY AB;10832.11
VEIJO KINNUNEN OY;54.5
VEIKKO NUMMELA OY;305.4
VEITA TEKNIIKKA OY;500.0
VEKEN KALUSTE OY;510.0
VELIMARK OY;64309.35
VELJEKSET HALONEN OY;199.35
VELJEKSET HOLTINKOSKI OY;18835.510000000002
VELJEKSET KELLOLA OY;6592.0
VELJEKSET KORKALA OY;800.0
VELJEKSET PAUPEK OY;105.28999999999999
VELJEKSET RÖNKÄ OY;6378.72
VELJEKSET TAURIAINEN OY;3842.0
VELJEKSET TOIVANEN OY;262.0
VELMOTEC OY;249.4
VELTOR OY;50.82
VEMTA OY;506.30999999999995
VENI ENERGIA OY;9323.2
VEPSÄLÄINEN OY;1036.0
VERIFONE FINLAND OY;282.9
VERKKOKAUPPA.COM OYJ;28543.19
VEROHALLINTO;2127.3199999999997
VEROHALLINTO / VALMISTEVERO;17069.78
VEROHALLINTO/ALKOHOLIVERO;218.15
VEROHALLINTO/KIINTEISTÖVERO;1979836.96
VERUTUM 0Y;14280.0
VESANTTI OY;66.55
VESIVEK OY;160.0
VESTAS FINLAND OY;900.0
VETMAN OY;757.9
VH TÄHTELÄ;904.0
VIAFIN OT SERVICE OY;2938.0
VIANOR OY;1120.37
VIESTILEHDET OY;999.45
VIESTIMAA OY;3965.8
VIHERRAKENNUS OY / KEIJO;160.0
VIHERRAKENNUS PIHAKUKOT OY;2878.0
VIHILUODON KALA;1080.0
VIINITALO MELKKO OY;1720.9199999999998
VIKING LIFE-SAVING EQUIPMENT;2566.9500000000003
VILLAN POJAT RY;1000.0
VILLANUTTU OY;70.0
VILOMIX FINLAND OY;269.03999999999996
VINK FINLAND OY;400.91
VISIM OY;215.97
VISIOLINK OY;1007.0
VISMA AMILI OY;12.77
VISMA AQUILA OY;170929.82
VISMA DEVENOR OY;20662.46
VISMA PLANDISC A/S;3351.45
VISMA SOLUTIONS OY / VISMA SIG;5394.02
VISUAALIVIESTINNÄN INSTITUUTTI;7494.3
VISUAL EDUCATION LIMITED;486.0
VIVAGO OY;1212.0
VK HIRSI OY;320.0
VKK-MEDIA OY;1942.1
VM PEAT AVOIN YHTIÖ;1044.0
VOICE INTUITIVE OY;5600.0
VOIMISTELU- JA URHEILU-;3000.0
VOLPRO OY / Avarto Finance;755.24
VOLVO CONSTRUCTION EQUIPMENT F;18236.33
VR KUNNOSSAPITO OY;3844.0
VR-YHTYMÄ OY;6565.7
